행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,montly-avg_단독다가구,dep-avg_단독다가구_월세,montly-avg_아파트,dep-avg_아파트_월세,montly-avg_연립다세대,dep-avg_연립다세대_월세,montly-avg_오피스텔,dep-avg_오피스텔_월세,dep-avg_단독다가구_전세,dep-avg_아파트_전세,dep-avg_연립다세대_전세,dep-avg_오피스텔_전세,montly-avg_mean,dep-avg_rent_mean,dep-avg_deposit_mean,count_도시철도,count_bus,count_transport,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop
전라북도 익산시 평화동,35030530,"1,171",4389,2307,50.7585609,26.68033721,0.0001,,,21.8,1161.6,,,,,,7116.666666666667,,,21.8,1161.6,7116.666666666667,,,,10,2,1,4,92,29,17,14,2,41,221
전라북도 익산시 인화동,35030550,"1,971",6379,3571,55.19462335,30.89825992,0.0002,27.90909090909091,663.6363636363636,10.318181818181818,1981.9545454545453,30,300,23,200,5000,,4100,,22.80681818181818,786.3977272727273,4550,,,,66,11,7,7,246,84,72,24,12,209,808
전라북도 익산시 동산동,35030570,"4,161",21365,10132,41.06790367,19.47577814,0.0004,33.36363636363637,863.5454545454545,21.99310344827586,1869.393103448276,26.666666666666668,3166.6666666666665,,,8500,4624.666666666667,7110.666666666667,,27.34113549285963,1966.5350748867993,6745.111111111112,,,,29,24,1,14,185,115,1,16,47,222,786
전라북도 익산시 마동,35030580,"2,175",9350,4712,46.15874363,23.26203209,0.0002,35.92,936.8,25.2,740,37.5,750,,,6083.333333333333,4797.368421052632,7000,,32.873333333333335,808.9333333333334,5960.233918128655,,,,37,7,3,15,155,75,3,25,32,180,724
전라북도 익산시 남중동,35030590,"3,019",10656,5832,51.76611797,28.33145646,0.0003,35.979166666666664,1385.4166666666667,45,500,42.25,712.5,,,6700,6120,,,41.076388888888886,865.9722222222223,6410,,,,161,23,6,31,351,97,9,65,14,250,1261
전라북도 익산시 모현동,35030610,"5,652",38207,16473,34.31069022,14.79310074,0.0006,40.74803149606299,651.9685039370079,29.33136094674556,1706.207100591716,29.36842105263158,2778.9473684210525,30.28571429,3392.857143,8684.210526,11465.21590909091,7600,,32.43338194636003,2132.495028987444,9249.808811802233,,,,48,65,22,48,273,167,8,19,79,537,1644
전라북도 익산시 송학동,35030620,"1,322",8976,3862,34.23096841,14.72816399,0.0001,42,675,15.923664122137405,2439.9541984732823,28.666666666666668,5166.666666666667,,,6250,17168.539325842696,5000,,28.863443596268024,2760.5402883799834,9472.846441947566,,,,12,1,0,15,70,30,5,3,15,69,650
전라북도 익산시 신동,35030650,"6,422",15305,9493,67.64984726,41.96014374,0.0006,37.1875,343.75,37.82978723404256,2235.319149,38.37931034482759,521.7241379310345,68.5,100,5937.864077669903,14949.333333333334,5820,,45.474149394717536,800.1983217168012,8902.399137001079,,,,67,24,10,35,333,181,9,68,58,459,1899
전라북도 익산시 영등1동,35030660,"3,478",21926,9637,36.09006952,15.86244641,0.0004,,,42.117283950617285,1772.8395061728395,33.857142857142854,1028.571428571429,,,,9939.623655913978,5000,,37.98721340388007,1400.705467372134,7469.811827956989,,,,80,99,13,46,355,205,3,33,51,360,1956
전라북도 익산시 팔봉동,35030690,"1,122",6660,2863,39.18966119,16.84684685,0.0001,36,766.6666666666666,,,60.1875,5100,,,6000,,22690,,48.09375,2933.3333333333335,14345,,,,20,8,0,4,149,67,0,23,16,94,1093
전라북도 익산시 삼성동,35030700,"4,847",31707,13584,35.68168433,15.28684518,0.0005,34.7,405.75,36.57142857142857,1576.2943722943724,47.5,2000,,,4857.142857142857,11859.75352112676,,,39.59047619047619,1327.3481240981241,8358.448189134808,,,,30,42,2,34,246,124,3,37,73,342,1824
전라북도 익산시 영등2동,35030710,"2,062",13418,5742,35.91083246,15.3674169,0.0002,36.09493670886076,475.5696202531645,45.15172413793103,2185.5172413793102,,,,,5326.086956521739,10798.04347826087,,,40.62333042,1330.5434308162373,8062.065217391304,,,,38,38,12,27,273,122,1,16,59,333,1873
전라북도 익산시 어양동,35030720,"4,161",23726,10611,39.21402318,17.53772233,0.0004,41.86440677966102,802,40.280141843971634,1385.1170212765958,82.90322580645162,2958.064516129032,48.63157895,1052.631579,8500,9474.228571428572,16500,8800,53.41983834502107,1549.453279101407,10818.557142857142,,,,32,36,12,30,217,135,0,10,47,277,1707
전라북도 정읍시 신태인읍,35040110,"1,607",5086,2947,54.53003054,31.59653952,0.0002,5,0,10.5,2003,,,,,,,,,7.75,2003,0,,,,6,1,1,2,93,39,2,9,8,65,1719
전라북도 정읍시 북면,35040310,"1,151",3962,2220,51.84684685,29.05098435,0.0001,35,1000,28.666666666666668,366.6666666666667,46.5,575,,,1000,,,,36.72222222222222,647.2222222222223,1000,,,,7,1,1,2,42,14,2,3,0,47,310
전라북도 정읍시 입암면,35040320,901,2650,1601,56.27732667,34,0.0001,,,,,,,,,,,,,0,0,0,,,,3,4,1,1,23,6,4,2,0,16,313
전라북도 정읍시 소성면,35040330,654,1994,1195,54.72803347,32.79839519,0.0001,,,,,,,,,,,,,0,0,0,,,,2,0,0,0,15,1,1,2,1,10,275
전라북도 정읍시 고부면,35040340,944,2675,1603,58.88958203,35.28971963,0.0001,,,,,,,,,,,,,0,0,0,,,,0,1,0,0,24,2,4,6,0,16,300
전라북도 정읍시 영원면,35040350,597,1660,1029,58.01749271,35.96385542,0.0001,,,,,,,,,11900,,,,0,0,11900,,,,0,1,0,1,7,3,0,2,0,9,340
전라북도 정읍시 덕천면,35040360,534,1687,985,54.21319797,31.65382336,0.0001,30,500,,,,,,,2000,,,,30,500,2000,,,,2,2,0,1,10,2,0,0,1,7,422
전라북도 정읍시 이평면,35040370,772,1893,1246,61.95826645,40.78182779,0.0001,,,,,,,,,,,,,0,0,0,,,,6,1,0,0,11,2,0,0,1,10,428
전라북도 정읍시 정우면,35040380,818,2364,1435,57.00348432,34.60236887,0.0001,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,14,4,2,1,1,10,457
전라북도 정읍시 태인면,35040390,"1,127",3268,1991,56.60472125,34.48592411,0.0001,20,2000,20,300,,,,,,,,,20,1150,0,,,,9,3,0,1,42,20,0,4,2,39,735
전라북도 정읍시 감곡면,35040400,"1,038",2665,1711,60.66627703,38.94934334,0.0001,,,,,,,,,,,,,0,0,0,,,,0,2,0,0,16,4,1,0,0,8,451
전라북도 정읍시 옹동면,35040410,589,1586,986,59.73630832,37.13745271,0.0001,,,,,,,,,,,,,0,0,0,,,,0,4,0,3,5,0,3,2,0,3,524
전라북도 정읍시 칠보면,35040420,641,2164,1236,51.86084142,29.62107209,0.0001,,,,,29,3000,,,,,,,29,3000,0,,,,1,2,0,2,24,15,2,2,5,33,891
전라북도 정읍시 산내면,35040430,468,1199,765,61.17647059,39.03252711,0,,,,,,,,,,,,,0,0,0,,,,2,1,0,0,8,0,16,0,5,8,624
전라북도 정읍시 산외면,35040440,741,1967,1236,59.95145631,37.67158109,0.0001,35,300,,,,,,,,,,,35,300,0,,,,1,0,0,1,17,12,6,2,2,21,879
전라북도 정읍시 수성동,35040510,"4,308",16437,8498,50.69428101,26.20916226,0.0004,35.641176470588235,1546.1764705882354,39.66101694915254,1043.7118644067796,,,,,7056.488549618321,6245.945945945946,9000,,37.65109670987039,1294.9441674975074,7434.1448318547555,,,,118,31,12,27,353,188,16,43,46,471,2449
전라북도 정읍시 장명동,35040520,615,2710,1368,44.95614035,22.69372694,0.0001,33.333333333333336,666.6666666666666,35.833333333333336,550,,,,,10000,5233.333333333333,,,34.583333333333336,608.3333333333333,7616.666666666666,,,,18,9,1,4,40,18,0,8,4,25,1187
전라북도 정읍시 내장상동,35040530,"3,153",20910,9130,34.53450164,15.07890961,0.0003,38,1047.7317073170732,23.62903225806452,2578,42.5,3125,,,7358.333333333333,9341.066666666668,5000,,34.70967741935484,2250.2439024390246,7233.133333333334,,,,27,68,4,20,186,131,39,20,58,385,2124
전라북도 정읍시 시기동,35040540,871,3091,1672,52.09330144,28.17858298,0.0001,32.5,1657.6923076923076,12.5,3549.5,,,,,6633.333333333333,,3600,,22.5,2603.596153846154,5116.666666666666,,,,13,5,3,4,258,75,5,9,5,138,1711
전라북도 정읍시 연지동,35040570,"1,412",5723,2937,48.0762683,24.67237463,0.0001,39.76923076923077,1481.1538461538462,53.85714285714285,3531.785714285714,40,400,,,7800,18836.052631578947,,,44.54212454212453,1804.3131868131868,13318.026315789473,,,,36,13,9,8,201,86,33,46,15,172,1879
전라북도 정읍시 농소동,35040580,"1,096",3805,2120,51.69811321,28.80420499,0.0001,32.666666666666664,633.3333333333334,21.88888888888889,1171.3333333333333,,,,,,,,,27.27777777777778,902.3333333333333,0,,,,6,4,2,2,76,34,1,5,5,33,1469
전라북도 정읍시 상교동,35040590,"1,583",4223,2599,60.90804155,37.48520009,0.0002,,,11.933333333333334,1680.0666666666666,,,,,8000,4321,,,11.933333333333334,1680.0666666666666,6160.5,,,,4,3,0,0,34,9,10,3,1,28,1235
전라북도 정읍시 초산동,35040600,"1,419",9901,4224,33.59375,14.33188567,0.0001,,,34,1021.4285714285714,55,1033.3333333333333,,,,5690.909090909091,12666.666666666666,,44.5,1027.3809523809523,9178.787878787878,,,,8,14,0,5,66,63,0,11,8,85,1421
전라북도 남원시 운봉읍,35050110,"1,026",3668,2042,50.24485798,27.97164667,0.0001,22.4,420,,,40,0,,,,,,,31.2,420,0,,,,6,1,0,2,56,11,7,3,8,54,792
전라북도 남원시 주천면,35050310,677,2519,1362,49.70631424,26.87574434,0.0001,23.33333333333333,276.6666666666667,,,,,,,9333.333333333334,,,,23.33333333333333,276.6666666666667,9333.333333333334,,,,8,3,0,1,39,4,20,3,2,52,1363
전라북도 남원시 수지면,35050320,329,1048,603,54.56053068,31.39312977,0,30,275,,,,,,,,,,,30,275,0,,,,1,0,0,0,8,3,0,4,0,4,780
전라북도 남원시 송동면,35050330,542,1874,1063,50.98777046,28.92209178,0.0001,10,200,,,,,,,8000,,,,10,200,8000,,,,2,0,0,0,15,4,0,2,0,6,812
전라북도 남원시 주생면,35050340,569,1753,1030,55.24271845,32.45864233,0.0001,15,0,,,,,,,5000,,,,15,0,5000,,,,1,0,0,0,17,2,1,2,3,5,1122
전라북도 남원시 금지면,35050350,690,2144,1280,53.90625,32.18283582,0.0001,25,200,,,,,,,,,,,25,200,0,,,,0,2,0,0,12,5,1,3,0,20,1019
전라북도 남원시 대강면,35050360,555,1473,927,59.87055016,37.67820774,0.0001,,,,,,,,,,,,,0,0,0,,,,1,0,0,1,8,1,2,0,0,11,1008
전라북도 남원시 대산면,35050370,404,1564,766,52.74151436,25.83120205,0,20,0,,,,,,,,,,,20,0,0,,,,0,0,0,0,5,1,0,0,0,10,579
전라북도 남원시 사매면,35050380,419,1452,788,53.17258883,28.85674931,0,14.25,1146.3333333333333,,,,,,,,,,,14.25,1146.3333333333333,0,,,,2,0,1,0,13,4,0,1,2,5,1226
전라북도 남원시 덕과면,35050390,339,917,573,59.16230366,36.96837514,0,,,,,,,,,,,,,0,0,0,,,,1,0,0,0,8,0,0,0,1,3,766
전라북도 남원시 보절면,35050400,460,1367,835,55.08982036,33.65032919,0,10,4500,,,,,,,750,,,,10,4500,750,,,,3,1,0,0,8,2,2,3,1,4,1763
전라북도 남원시 산동면,35050410,525,1675,987,53.19148936,31.34328358,0.0001,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,10,3,1,2,2,4,1197
전라북도 남원시 이백면,35050420,603,2161,1177,51.23194562,27.90374826,0.0001,,,,,,,,,,,,,0,0,0,,,,2,1,0,3,19,3,0,4,2,7,1578
전라북도 남원시 인월면,35050430,769,2726,1507,51.02853351,28.20983125,0.0001,33.75,662.5,36.25,1125,52.5,800,,,4666.666666666667,,,,40.833333333333336,862.5,4666.666666666667,,,,7,2,1,4,72,23,11,1,8,120,2117
전라북도 남원시 아영면,35050440,530,1840,1039,51.0105871,28.80434783,0.0001,,,,,,,,,,,,,0,0,0,,,,1,1,0,0,18,5,2,0,0,16,1296
전라북도 남원시 산내면,35050450,641,2040,1180,54.3220339,31.42156863,0.0001,25.666666666666668,266.6666666666667,,,,,,,15000,,,,25.666666666666668,266.6666666666667,15000,,,,1,7,0,2,56,2,86,2,6,97,2094
전라북도 남원시 동충동,35050510,808,3092,1632,49.50980392,26.13195343,0.0001,39.25,750,40,3000,30,500,,,9000,,10000,,36.416666666666664,1416.6666666666667,9500,,,,23,6,5,6,87,28,11,12,3,59,279
전라북도 남원시 죽항동,35050520,978,3034,1747,55.98168288,32.2346737,0.0001,34.53333333333333,713.3333333333334,33.53846153846154,830.7692307692307,50,2000,,,5500,5525.142857142857,,,39.35726495726496,1181.3675213675212,5512.571428571428,,,,41,18,7,8,310,91,16,15,34,231,850
전라북도 남원시 노암동,35050540,"1,316",5980,2893,45.48911165,22.00668896,0.0001,15,283.1666666666667,12.58904109589041,2432.917808219178,,,,,11000,11481.157894736842,,,13.794520547945204,1358.0422374429222,11240.57894736842,,,,10,4,2,0,58,19,8,10,9,88,341
전라북도 남원시 금동,35050550,"1,404",6191,3091,45.42219346,22.67808109,0.0001,41.66666666666666,1081.111111111111,18.861702127659573,2364.7872340425533,27.75,5650,,,8800,10860.01438848921,9000,,29.426122931442077,3031.9661150512215,9553.338129496404,,,,9,8,4,10,271,62,5,10,19,175,780
