행정구역분류,행정구역_x,지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),count_bus,count_transport,count_도시철도,sum_all_shop,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식
31180,경기도 하남시,42.00945165071429,21.321475488357144,0.000378571,108.25174803512535,1.2151488171826856,350.03373823037725,157.95850309150487,1.0571578855765063,521.9358174332303,107.68533995540767,1.2496105659348344,365.22853390039234,83.78616959,2.0091443723467584,478.39892378896684,114.42044016759277,1.3827654102601963,428.89925333886805,51952,329861,141764,586,590,4,83811,3430,1028,215,864,3593,1565,46,785,537,3400
31191,경기도 용인시 처인구,40.40673616,18.946246733333332,0.000375,26.61501972161284,1.4333794808109734,211.5044944231004,62.02092825008634,1.1444001624820155,284.9820859964288,33.227418034054715,1.4051109288415293,216.08353777582838,52.28658717994955,1.6143621097476009,365.0164965211063,43.53748829632619,1.3993131704705297,269.39665367911596,46843,261488,117863,1490,1499,9,22999,1122,565,87,820,3043,1508,279,634,612,4094
31192,경기도 용인시 기흥구,30.15744965,12.416012704666667,0.000353333,80.77775872747429,1.346641452429465,281.8774866294865,90.38767587412096,1.0027387187582335,423.69365914070636,89.29407560738908,1.4118718316305987,359.6103988559459,78.86916203000756,1.8648739355685662,417.1190277153326,84.83216806,1.4065314845967158,370.57514308250904,52547,436656,174971,822,832,10,82438,3019,1103,177,767,3366,1672,81,661,699,3783
31193,경기도 용인시 수지구,25.052585264545453,9.798497809727273,0.000336364,89.09934341414184,1.5003281186426682,362.8016652094586,169.8701700411893,1.3502024852530428,577.4032837385583,134.78984801659183,1.4012796120734676,447.28186105878433,96.59382407686483,2.3455648353361243,554.5102106502233,122.58829638881421,1.6493437628263259,485.4992551642561,35567,377422,142506,572,578,6,24411,1328,1046,170,488,2275,1024,84,291,483,2591
31200,경기도 파주시,43.27437291,22.21935316,0.000425,28.737008057927234,1.0472262890125694,171.50997276446634,72.00389616763115,0.8044087061540486,332.19071880561853,44.37449157064981,1.17379999,245.32968163888478,59.721672057326806,1.9178849093099237,418.1065244892375,51.209266963383755,1.2358299736480465,291.78422442531775,84154,497753,220158,2110,2119,9,91729,2379,1034,190,1037,4997,2321,332,932,913,6480
31210,경기도 이천시,46.77910384857143,24.08645455421429,0.000314286,23.121120992314268,1.4377948363578408,218.96370384058082,63.06144455151176,0.9714599136805281,266.3024038334141,33.708089246547694,1.1689554059010487,217.26711636776858,51.89677285321194,1.771975637487442,410.33037312329117,42.946856910686435,1.3375464483550121,278.21589929126367,44860,222098,103793,1301,1304,3,51976,635,431,94,524,2889,1331,169,520,471,3571
31220,경기도 안성시,48.10083012733333,25.18631647,0.000273333,16.533776864747026,1.2140990637189897,151.23141716897598,52.97303123313587,1.0209391572202955,254.04305489039294,35.09920049928626,1.248944345839294,199.75996350669502,55.219001971554206,1.642847055627012,377.45965985285045,39.95625264245752,1.281707405601398,245.6235238547286,40448,189034,91026,1375,1375,0,43581,532,308,75,453,2500,1080,172,474,421,3292
31230,경기도 김포시,37.678431229285714,17.94105889992857,0.000514286,28.223801959668045,1.2903117547182616,189.97289663816534,70.56527844899973,1.0181458715184744,366.40072503369464,61.437267909983134,1.1517677990340183,260.43230766285416,51.412712524970395,1.6998084658649848,414.2722171907882,52.90976521083193,1.290008472793205,307.7695366299187,70104,486172,204594,1375,1384,9,42269,2628,1291,242,1209,4899,2346,98,924,871,5932
31240,경기도 화성시,40.11959612896552,19.91301534624138,0.000527586,35.34877289890598,1.3585261459890512,216.4290541162418,78.47974342,0.8759229429831662,318.40841792796965,67.85281074,1.345821343270472,286.4121873199242,60.57375898664205,1.7943937201539752,416.5864564687728,60.56377151127784,1.343666038115512,309.4590289593398,151962,944342,404623,3018,3021,3,71135,3826,1862,339,2175,7572,3857,400,1451,1601,10245
31250,경기도 광주시,37.39409355,17.45072423,0.00039375,40.48263128816701,1.281781853646124,211.11862989515714,96.18279839905061,1.1044557837320856,374.4454065939765,66.55634117139113,1.0520450772529917,234.80693280624726,65.44995233943085,1.7992302152916704,430.8119555315913,67.16793079950666,1.309378232480718,312.79573120564726,60606,391377,170845,1334,1338,4,46785,1244,692,109,882,3695,1883,155,579,714,4347
